order_id,customer_id,product_id,quantity,order_date
1,130,2,4,2024-05-05 20:32:57
2,125,4,3,2025-01-24 03:08:27
3,993,4,3,2024-12-24 13:21:17
4,506,2,1,2024-11-26 16:37:56
5,344,1,3,2024-03-05 11:14:39
6,976,2,4,2024-07-04 23:12:22
7,260,2,4,2024-10-05 09:49:52
8,108,5,1,2024-04-07 16:47:52
9,291,5,2,2025-02-09 10:21:04
10,630,1,2,2024-11-09 02:32:13
11,471,5,4,2024-07-20 17:44:51
12,74,5,2,2024-05-08 22:42:35
13,105,5,2,2024-08-23 10:10:20
14,50,4,1,2024-07-08 17:40:44
15,999,2,1,2024-07-02 16:42:22
16,109,3,3,2024-07-01 11:36:26
17,40,5,2,2024-08-27 02:38:16
18,277,1,1,2025-02-15 04:25:53
19,370,2,1,2024-10-05 09:46:37
20,319,2,3,2024-11-04 16:44:48
21,761,4,1,2024-11-21 09:12:04
22,458,4,3,2024-04-23 08:23:09
23,120,5,2,2024-04-18 23:46:24
24,166,5,3,2025-02-19 10:48:06
25,970,3,1,2024-05-22 06:49:27
26,528,4,1,2024-10-29 06:31:25
27,84,1,1,2024-08-23 00:23:18
28,674,4,1,2025-02-03 17:49:27
29,282,4,4,2024-12-16 18:57:21
30,778,5,1,2024-11-15 09:29:43
31,943,2,3,2024-12-06 04:49:50
32,72,2,3,2024-04-03 16:12:26
33,832,2,4,2024-10-15 00:30:44
34,677,3,2,2024-06-24 23:55:09
35,38,5,2,2024-12-31 04:51:31
36,512,3,4,2024-09-05 04:16:11
37,72,5,2,2024-11-14 00:53:03
38,952,5,3,2024-10-23 23:10:23
39,346,2,1,2025-01-01 22:48:52
40,512,2,3,2024-05-10 05:12:27
41,456,3,3,2024-07-29 07:59:18
42,768,4,4,2024-06-06 00:44:31
43,244,1,1,2025-02-20 05:30:00
44,58,4,1,2024-10-12 22:27:33
45,946,1,2,2024-05-06 15:00:57
46,370,4,4,2024-03-16 17:59:42
47,471,5,2,2024-11-23 23:37:30
48,282,2,1,2024-07-09 06:59:58
49,592,4,4,2024-11-07 13:17:11
50,482,4,4,2024-03-16 18:35:30
51,322,3,1,2025-01-31 22:38:39
52,732,5,3,2024-03-19 01:13:15
53,538,4,3,2025-02-25 16:59:11
54,61,4,3,2024-06-28 14:15:45
55,113,3,3,2024-08-01 09:01:51
56,356,1,1,2024-04-17 18:54:24
57,252,3,4,2025-01-26 03:43:43
58,506,3,2,2024-09-24 06:17:33
59,514,2,2,2024-10-09 02:53:55
60,854,2,2,2024-11-08 06:47:41
61,873,3,2,2024-04-20 10:39:27
62,399,4,2,2024-11-04 22:19:11
63,977,1,3,2024-09-05 18:04:10
64,152,1,2,2024-08-14 12:45:29
65,2,4,4,2024-10-20 22:12:03
66,377,4,2,2024-05-22 19:08:45
67,420,5,4,2024-12-18 01:43:21
68,6,2,2,2025-01-31 00:57:54
69,425,2,4,2024-12-23 15:07:55
70,749,2,3,2024-04-27 06:25:10
71,495,1,3,2024-11-13 19:31:06
72,269,1,1,2024-09-17 03:54:46
73,673,2,1,2024-06-16 13:40:18
74,91,2,1,2024-06-21 04:51:38
75,467,1,2,2025-01-12 05:10:42
76,459,2,2,2024-05-13 16:46:37
77,72,5,4,2024-12-17 23:09:03
78,615,4,2,2024-09-07 12:19:45
79,218,5,4,2024-03-12 11:21:31
80,261,5,1,2024-10-30 17:31:19
81,928,3,4,2024-08-24 15:32:51
82,999,2,1,2024-04-20 01:55:13
83,956,4,2,2024-04-28 04:57:12
84,559,3,2,2025-02-15 02:19:58
85,332,3,3,2024-03-13 03:09:49
86,358,3,3,2024-10-14 19:58:22
87,664,2,4,2024-06-24 05:05:42
88,752,3,1,2024-11-19 21:32:16
89,218,1,4,2024-07-04 17:36:37
90,130,3,3,2024-07-29 02:17:46
91,355,2,2,2024-03-18 14:32:14
92,342,4,1,2024-05-28 23:22:10
93,462,4,3,2024-03-20 03:26:18
94,448,5,2,2024-05-27 20:56:04
95,576,2,4,2024-09-15 04:37:06
96,957,3,2,2025-02-12 21:12:58
97,259,1,4,2024-05-17 16:04:18
98,594,1,4,2025-02-16 09:43:32
99,301,3,3,2024-06-28 19:12:23
100,271,3,3,2024-06-25 12:14:12
101,124,4,2,2024-06-19 18:06:18
102,774,1,2,2024-11-10 10:30:42
103,342,1,3,2025-02-18 07:12:13
104,787,4,4,2025-02-01 16:48:08
105,602,1,3,2024-08-15 09:59:58
106,595,5,1,2024-08-10 18:34:36
107,770,2,3,2024-08-09 14:08:24
108,691,1,2,2024-08-06 09:05:28
109,703,1,2,2024-10-05 16:50:38
110,819,1,3,2024-08-27 19:42:00
111,425,3,2,2024-04-27 14:52:20
112,832,4,3,2024-05-14 21:58:46
113,317,1,2,2025-02-15 19:58:51
114,125,4,1,2024-07-08 07:37:24
115,353,4,2,2025-01-11 16:30:15
116,875,3,1,2024-04-09 01:08:53
117,773,5,4,2024-12-20 10:15:21
118,415,1,2,2024-10-22 05:13:21
119,39,1,2,2024-09-09 23:29:58
120,177,2,1,2024-05-23 12:44:52
121,724,4,4,2024-05-02 06:01:31
122,793,4,1,2025-01-18 12:56:45
123,53,4,3,2024-11-06 08:11:52
124,496,4,1,2024-06-27 21:25:21
125,550,5,4,2024-05-28 11:29:30
126,156,5,2,2024-07-22 07:14:17
127,835,5,1,2024-03-02 17:30:21
128,605,5,2,2024-11-09 00:28:25
129,284,5,2,2024-11-03 23:52:46
130,17,3,4,2024-11-06 17:57:22
131,767,4,4,2024-06-23 17:33:43
132,282,4,2,2024-11-24 11:01:30
133,337,1,2,2025-02-12 12:43:39
134,1000,5,4,2024-09-22 23:15:16
135,254,2,2,2024-12-19 18:13:33
136,304,5,3,2024-10-29 22:26:29
137,840,3,3,2025-01-21 11:40:32
138,921,4,3,2024-03-21 19:55:27
139,303,3,1,2024-05-23 09:08:17
140,594,3,2,2024-03-13 13:57:22
141,478,2,2,2024-04-06 04:29:42
142,872,2,2,2024-04-23 07:05:31
143,911,4,3,2024-06-09 01:59:46
144,125,4,3,2024-09-22 08:06:50
145,545,1,2,2025-01-08 17:14:19
146,989,1,2,2024-09-25 12:17:30
147,296,4,3,2024-09-26 07:18:33
148,478,3,4,2024-08-10 12:22:40
149,260,4,1,2025-01-12 14:59:46
150,37,4,4,2024-08-05 06:30:45
151,657,1,3,2024-10-27 05:24:42
152,209,3,3,2025-01-18 01:24:18
153,820,3,3,2025-02-18 00:15:58
154,632,4,3,2025-02-20 12:59:28
155,377,5,4,2024-10-08 21:51:02
156,368,2,2,2024-06-18 16:55:09
